epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.523,2.42647,2.58108,1.01511,0.58891,0.27273,0.2755,0.08932,2.52167,3.74147,1.49981,0.00014611,0.00014611,0.00014611
2,103.623,2.32512,2.27957,0.98232,0.56107,0.25,0.25935,0.07348,2.61976,3.53756,1.53309,0.000280116,0.000280116,0.000280116
3,155.819,2.3482,2.47585,0.87852,0.86437,0.28998,0.39093,0.10425,2.60333,3.01202,1.47869,0.00039382,0.00039382,0.00039382
4,203.654,2.49635,2.67446,0.86558,0.75166,0.31818,0.36383,0.09957,2.66943,3.3135,1.55384,0.000487223,0.000487223,0.000487223
5,252.594,2.32592,2.21372,0.91259,0.638,0.28064,0.31095,0.09332,2.74645,3.70352,1.66233,0.000560324,0.000560324,0.000560324
6,301.009,2.31318,2.54876,0.95766,0.76917,0.25,0.25296,0.07945,2.72906,3.99682,1.71986,0.00051523,0.00051523,0.00051523
7,349.094,2.14437,2.50187,0.96638,0.83261,0.27273,0.3192,0.10738,2.53604,3.87354,1.74904,0.000464476,0.000464476,0.000464476
8,397.466,2.24656,2.60841,0.96803,0.7806,0.29545,0.32928,0.10951,2.5146,4.06349,1.78193,0.000413722,0.000413722,0.000413722
9,446.749,2.15407,2.39318,0.95436,0.78568,0.29545,0.31158,0.09968,2.51457,4.19502,1.81885,0.000362968,0.000362968,0.000362968
10,496.179,2.11441,2.37937,0.89019,0.80599,0.27273,0.32133,0.09118,2.52197,4.03907,1.78584,0.000312214,0.000312214,0.000312214
11,549.567,2.10636,2.38636,0.91422,0.90984,0.25,0.33141,0.09555,2.53154,3.61862,1.6999,0.00026146,0.00026146,0.00026146
12,599.656,2.09365,2.32612,0.90681,0.89859,0.25,0.33103,0.09402,2.52248,3.46604,1.64487,0.000210706,0.000210706,0.000210706
13,649.141,2.12843,2.25605,0.92797,0.76144,0.25,0.32662,0.09051,2.50198,3.40885,1.59532,0.000159952,0.000159952,0.000159952
14,699.325,2.08614,2.21508,0.93995,0.64046,0.27273,0.33425,0.09351,2.51073,3.35795,1.5853,0.000109198,0.000109198,0.000109198
15,751.259,2.08007,2.26752,0.88113,0.71606,0.29545,0.3195,0.09134,2.50847,3.56062,1.59392,5.8444e-05,5.8444e-05,5.8444e-05
